每月對照使用,直飲臺編號,轄區分處,市別,場所別,場所次分類,所屬單位,場所名稱,地址,行政區,維護單位,連絡電話,場所開放時間,設置地點,經度,緯度,狀態,狀態異動日期時間,最近採樣日期時間,大腸桿菌數,水質及維護資訊網址,直飲台照片網址
1717a,1717a,北區,臺北市,捷運站,中和新蘆線,臺北大眾捷運股份有限公司,民權西路站,臺北市中山區民權西路72號,中山,臺北大眾捷運股份有限公司(藍橘線),25363001#8653,06:00~23:00,9號出口,121.519788,25.063030,正常,20211201T090000,20260107T102000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1717a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1717a.JPG
1717b,1717b,北區,臺北市,捷運站,中和新蘆線,臺北大眾捷運股份有限公司,民權西路站,臺北市中山區民權西路72號,中山,臺北大眾捷運股份有限公司(藍橘線),25363001#8653,06:00~23:00,9號出口,121.519788,25.063030,正常,20211201T090000,20260107T102500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1717b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1717b.JPG
1718,1718,北區,臺北市,捷運站,淡水信義線,臺北大眾捷運股份有限公司,雙連站,臺北市中山區民生西路47號,中山,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1號出口,121.520579,25.057496,正常,20211201T090000,20260305T104500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1718,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1718.JPG
1718a,1718a,北區,臺北市,捷運站,中山地下街,臺北大眾捷運股份有限公司,中山地下街,臺北市中山區雙連站及中山站間地下街,中山,臺北大眾捷運股份有限公司(藍橘線),25363001#8653,06:00~23:00,爵士廣場,121.520545,25.055401,正常,20220506T100000,20260305T110000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1718a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1718a.JPG
1718b,1718b,北區,臺北市,捷運站,中山地下街,臺北大眾捷運股份有限公司,中山地下街,臺北市中山區雙連站及中山站間地下街,中山,臺北大眾捷運股份有限公司(藍橘線),25363001#8653,06:00~23:00,爵士廣場,121.520545,25.055401,正常,20220506T100000,20260305T110500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1718b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1718b.JPG
1718c,1718c,北區,臺北市,捷運站,淡水信義線,臺北大眾捷運股份有限公司,雙連站,臺北市中山區民生西路47號,中山,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1號出口,121.520579,25.057496,正常,20211217T100000,20260305T105000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1718c,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1718c.JPG
1719,1719,北區,臺北市,捷運站,淡水信義線,臺北大眾捷運股份有限公司,中山站,臺北市中山區南京西路16號,中山,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1號出口,121.520302,25.052423,正常,20260414T000000,20260305T102500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1719,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1719.JPG
1719a,1719a,北區,臺北市,捷運站,淡水信義線,臺北大眾捷運股份有限公司,中山站(淡水信義線),臺北市中山區南京西路16號,中山,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1號出口,121.520302,25.052423,正常,20260414T000000,20260305T103000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1719a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1719a.JPG
1720,1720,北區,臺北市,捷運站,淡水信義線,臺北大眾捷運股份有限公司,台北車站,臺北市中正區忠孝西路1段49號,中正,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,4號出口,121.517253,25.046485,正常,20211201T090000,20260303T145500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1720,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1720.JPG
1720a,1720a,北區,臺北市,捷運站,淡水信義線,臺北大眾捷運股份有限公司,台北車站(板南線),臺北市中正區忠孝西路1段49號,中正,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,4號出口,121.517253,25.046485,正常,20211217T100000,20260303T150000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1720a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1720a.JPG
1721,1721,西區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,台大醫院站,臺北市中正區公園路52號,中正,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1號出口,121.515774,25.040962,正常,20211201T090000,20260303T143000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1721,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1721.JPG
1721a,1721a,西區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,台大醫院站,臺北市中正區公園路52號,中正,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1號出口,121.515774,25.040962,正常,20211217T100000,20260303T143500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1721a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1721a.JPG
1722a,1722a,西區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,中正紀念堂站,臺北市中正區羅斯福路1段8之1號,中正,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,5號出口,121.517187,25.034899,正常,20211201T090000,20260303T094000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1722a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1722a.JPG
1722b,1722b,西區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,中正紀念堂站,臺北市中正區羅斯福路1段8之1號,中正,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,5號出口,121.517187,25.034899,正常,20211201T090000,20260303T094500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1722b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1722b.JPG
1722c,1722c,西區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,中正紀念堂站,臺北市中正區羅斯福路1段8之1號,中正,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,5號出口,121.517187,25.034899,正常,20211217T100000,20260303T095000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1722c,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1722c.JPG
1723,1723,西區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,古亭站,臺北市大安區羅斯福路2段164之1號,大安,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,6號出口,121.522304,25.027499,正常,20211201T090000,20260205T100500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1723,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1723.JPG
1723a,1723a,西區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,古亭站,臺北市大安區羅斯福路2段164之1號,大安,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,6號出口,121.522304,25.027499,正常,20211217T100000,20260205T101000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1723a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1723a.JPG
1724,1724,西區,新北市,捷運站,中和新蘆線,臺北大眾捷運股份有限公司,頂溪站,新北市永和區永和路2段168號,永和,臺北大眾捷運股份有限公司(藍橘線),25363001#8653,06:00~23:00,1號出口,121.515438,25.012931,正常,20211201T090000,20260107T112500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1724,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1724.JPG
1725,1725,西區,新北市,捷運站,中和新蘆線,臺北大眾捷運股份有限公司,永安市場站,新北市中和區中和路388號,中和,臺北大眾捷運股份有限公司(藍橘線),25363001#8653,06:00~23:00,出口右側,121.510961,25.002366,正常,20211201T090000,20260107T132000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1725,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1725.JPG
1725a,1725a,西區,新北市,捷運站,中和新蘆線,臺北大眾捷運股份有限公司,永安市場站,新北市中和區中和路388號,中和,臺北大眾捷運股份有限公司(藍橘線),25363001#8653,06:00~23:00,出口右側,121.510961,25.002366,正常,20211217T100000,20260107T132500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1725a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1725a.JPG
1726,1726,西區,新北市,捷運站,中和新蘆線,臺北大眾捷運股份有限公司,景安站,新北市中和區景安路486號,中和,臺北大眾捷運股份有限公司(藍橘線),25363001#8653,06:00~23:00,出口左側,121.504628,24.993726,正常,20211201T090000,20260107T134000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1726,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1726.JPG
1726a,1726a,西區,新北市,捷運站,中和新蘆線,臺北大眾捷運股份有限公司,景安站,新北市中和區景安路486號,中和,臺北大眾捷運股份有限公司(藍橘線),25363001#8653,06:00~23:00,出口左側,121.504628,24.993726,正常,20211217T100000,20260107T134500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1726a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1726a.JPG
1727a,1727a,西區,新北市,捷運站,中和新蘆線,臺北大眾捷運股份有限公司,南勢角站,新北市中和區興南路1段84巷6號,中和,臺北大眾捷運股份有限公司(藍橘線),25363001#8653,06:00~23:00,4號出口,121.509336,24.989697,正常,20211201T090000,20260107T140500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1727a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1727a.JPG
1727b,1727b,西區,新北市,捷運站,中和新蘆線,臺北大眾捷運股份有限公司,南勢角站,新北市中和區興南路1段84巷6號,中和,臺北大眾捷運股份有限公司(藍橘線),25363001#8653,06:00~23:00,4號出口,121.509336,24.989697,正常,20211201T090000,20260107T141000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1727b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1727b.JPG
1728,1728,南區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,台電大樓站,臺北市大安區羅斯福路3段126-5號,大安,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1號出口,121.527849,25.021180,正常,20211201T090000,20260205T094000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1728,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1728.JPG
1728a,1728a,南區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,台電大樓站,臺北市大安區羅斯福路3段126-5號,大安,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1號出口,121.527849,25.021180,正常,20211217T100000,20260205T094500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1728a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1728a.JPG
1729,1729,南區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,公館站,臺北市大安區羅斯福路4段64-1號,大安,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,2號出口,121.534767,25.014685,正常,20211201T090000,20260202T095000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1729,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1729.JPG
1729a,1729a,南區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,公館站,臺北市大安區羅斯福路4段64-1號,大安,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,2號出口,121.534767,25.014685,正常,20211217T100000,20260202T095500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1729a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1729a.JPG
1730,1730,南區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,萬隆站,臺北市文山區羅斯福路5段214號,文山,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,4號出口,121.539038,25.002203,正常,20211201T090000,20260202T101000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1730,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1730.JPG
1730a,1730a,南區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,萬隆站,臺北市文山區羅斯福路5段214號,文山,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,4號出口,121.539038,25.002203,正常,20211217T100000,20260202T101500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1730a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1730a.JPG
1731,1731,南區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,景美站,臺北市文山區羅斯福路6段216號,文山,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1號出口,121.540694,24.992230,正常,20211201T090000,20260202T103000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1731,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1731.JPG
1731a,1731a,南區,臺北市,捷運站,松山新店線,臺北大眾捷運股份有限公司,景美站,臺北市文山區羅斯福路6段216號,文山,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1號出口,121.540694,24.992230,正常,20211217T100000,20260202T103500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1731a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1731a.JPG
