每月對照使用,直飲臺編號,轄區分處,市別,場所別,場所次分類,所屬單位,場所名稱,地址,行政區,維護單位,連絡電話,場所開放時間,設置地點,經度,緯度,狀態,狀態異動日期時間,最近採樣日期時間,大腸桿菌數,水質及維護資訊網址,直飲台照片網址
0131h,0131h,南區,臺北市,機關,臺北自來水事業處,臺北自來水事業處,北水處長興淨水場淨水大樓1樓,臺北市大安區長興街131號,大安,北水處水質科,87335687,0:00~24:00,淨水大樓1樓,121.548456,25.014828,正常,20211201T090000,20260112T101500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0131h,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0131h.JPG
0131k,0131k,南區,新北市,機關,臺北自來水事業處,臺北自來水事業處,北水處教育中心教室旁,新北市新店區直潭路2號,新店,北水處教育中心教室旁,83695171,0:00~24:00,教室旁,121.528263,24.940303,正常,20211201T090000,20260112T120500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0131k,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0131k.JPG
0132a,0132a,南區,新北市,機關,臺北自來水事業處,臺北自來水事業處,北水處直潭淨水場中控大樓,新北市新店區直潭路2號,新店,北水處直潭淨水場,26668471轉516,0:00~24:00,中控大樓,121.527821,24.941067,正常,20211201T090000,20260112T114600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0132a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0132a.JPG
0132b,0132b,南區,新北市,機關,臺北自來水事業處,臺北自來水事業處,北水處直潭淨水場中控大樓,新北市新店區直潭路2號,新店,北水處直潭淨水場,26668471轉516,0:00~24:00,中控大樓,121.527821,24.941067,正常,20211201T090000,20260112T112500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0132b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0132b.JPG
0158a,0158a,南區,臺北市,捷運站,淡水信義線,臺北大眾捷運股份有限公司,東門站,臺北市中正區信義路二段101號與金山南路1段口,中正,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1、3號出口間,121.527621,25.034183,正常,20211201T090000,20260303T101000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0158a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0158a.JPG
0158b,0158b,南區,臺北市,捷運站,淡水信義線,臺北大眾捷運股份有限公司,東門站,臺北市中正區信義路二段101號與金山南路1段口,中正,臺北大眾捷運股份有限公司(紅綠線),25363001#8653,06:00~23:00,1、3號出口間,121.527621,25.034183,正常,20211201T090000,20260303T101500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0158b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0158b.JPG
0227a,0227a,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區水源路199號,萬華,工務局公園處青年管理所,27003830,0:00~24:00,愛心園地,121.506281,25.025879,正常,20211201T090000,20260105T095600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227a.JPG
0227b,0227b,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區青年路176號對面(兒童遊憩區),萬華,工務局公園處青年管理所,27003830,0:00~24:00,四號門兒童遊戲區左側,121.503226,25.021047,正常,20260414T000000,20260105T094100,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227b.JPG
0227d,0227d,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區水源路199號,萬華,工務局公園處青年管理所,27003830,0:00~24:00,籃球場旁,121.504870,25.020720,正常,20211201T090000,20260105T092300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227d,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227d.JPG
0227e,0227e,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區水源路199號(防災公園),萬華,工務局公園處青年管理所,27003830,0:00~24:00,水源路跑道旁,121.504442,25.020395,正常,20260414T000000,20260105T092800,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227e,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227e.JPG
0227f,0227f,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區青年路190號對面,萬華,工務局公園處青年管理所,27003830,0:00~24:00,兒童溜滑梯沙坑旁,121.504050,25.020456,正常,20211201T090000,20260105T093700,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227f,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227f.JPG
0227g,0227g,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區青年路96號對面,萬華,工務局公園處青年管理所,27003830,0:00~24:00,棒球場入口廣場座椅旁,121.502871,25.022893,正常,20260414T000000,20260105T094600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227g,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227g.JPG
0227h,0227h,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區青年路196號對面,萬華,工務局公園處青年管理所,27003830,0:00~24:00,馬場町紀念公園水門入口對面,121.504153,25.020133,正常,20211201T090000,20260105T093200,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227h,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227h.JPG
0227i,0227i,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區青年路50號對面,萬華,工務局公園處青年管理所,27003830,0:00~24:00,太陽能圖書管入口廣場旁,121.504006,25.025154,正常,20260414T000000,20260105T095100,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227i,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227i.JPG
0227j,0227j,西區,臺北市,公園步道,公園處,工務局公園處,青年公園,臺北市萬華區水源路199號,萬華,工務局公園處青年管理所,27003830,0:00~24:00,泳池旁,121.506237,25.023712,正常,20211201T090000,20260105T100300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0227j,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0227j.JPG
0258,0258,西區,臺北市,場館,文化局,財團法人臺北市文化基金會,剝皮寮歷史街區,臺北市萬華區廣州街129-1號廣場,萬華,剝皮寮歷史街區西側,,0:00~24:00,剝皮寮歷史街區,121.502531,25.036644,正常,20260414T000000,20260211T112400,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0258,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0258.JPG
0261,0261,西區,臺北市,公園步道,公園處,工務局公園處,西本願寺,臺北市萬華區長沙街2段13號對面,萬華,工務局公園處園藝工程隊,23815132＃318,0:00~24:00,長沙街二段13號對面,121.506827,25.040455,正常,20220113T100000,20260105T104600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0261,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0261.JPG
0261a,0261a,西區,臺北市,公園步道,公園處,工務局公園處,西本願寺,臺北市萬華區長沙街二段21號對面,萬華,工務局公園處園藝工程隊,23815132＃318,0:00~24:00,人行道旁,121.506796,25.040552,正常,20220113T100000,20260105T104300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0261a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0261a.JPG
0262a,0262a,西區,臺北市,公園步道,電影公園,財團法人台北市文化基金會,武昌街電影公園,臺北市萬華區武昌街2段126號前,萬華,財團法人臺北市文化基金會,23123717轉19,0:00~24:00,武昌街廣場北方,121.503337,25.045439,正常,20260414T000000,20260105T105300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0262a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0262a.JPG
0263,0263,西區,臺北市,公園步道,公園處,工務局公園處,和平青草園,臺北市萬華區西園路一段與艋舺大道交叉口,萬華,工務局公園處青年管理所,27003830,00:00~24:00,展覽室,121.497068,25.032466,正常,20260414T000000,20260105T102500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0263,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0263.JPG
0264,0264,西區,臺北市,公園步道,區公所,臺北市萬華區公所,長順公園,臺北市萬華區長順街46巷,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,公園西側,121.488941,25.031875,正常,20211201T090000,20260211T145200,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0264,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0264.JPG
0265a,0265a,西區,臺北市,公園步道,區公所,臺北市萬華區公所,糖「部」園區,臺北市萬華區大理街160巷旁,萬華,臺北市萬華區公所,2306-4468#283,00:00~24:00,廣場東北側,121.494195,25.033273,正常,20260414T000000,20260211T150300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0265a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0265a.JPG
0265b,0265b,西區,臺北市,公園步道,區公所,臺北市萬華區公所,糖「部」園區,臺北市萬華區大理街160巷旁,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,特色遊戲場旁,121.494689,25.033557,正常,20260414T000000,20260211T150700,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0265b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0265b.JPG
0266,0266,西區,臺北市,場館,文化局,財團法人臺北市文化基金會,紅樓,臺北市萬華區成都路12號,萬華,西門紅樓,,0:00~24:00,成都路、漢中街口,121.507233,25.042204,正常,20260414T000000,20260211T102700,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0266,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0266.JPG
0267,0267,西區,臺北市,公園步道,區公所,臺北市萬華區公所,華西公園,臺北市萬華區華西街21巷內,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,Ubike旁,121.498765,25.038697,正常,20211201T090000,20260211T111200,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0267,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0267.JPG
0268,0268,西區,臺北市,公園步道,區公所,臺北市萬華區公所,寺前公園,臺北市萬華區西園路1段282巷內,萬華,臺北市萬華區公所,2306-4468#283,00:00~24:00,草坪上,121.499219,25.033575,正常,20260414T000000,20260211T151500,1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0268,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0268.JPG
0269,0269,西區,臺北市,公園步道,區公所,臺北市萬華區公所,老松公園,臺北市萬華區桂林路與永福街之間,萬華,臺北市萬華區公所,2306-4468#283,00:00~24:00,遊戲區旁,121.502868,25.038627,正常,20260414T000000,20260211T110400,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0269,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0269.JPG
0270,0270,西區,臺北市,公園步道,區公所,臺北市萬華區公所,東園公園,臺北市萬華區萬大路424巷與486巷68弄間,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,入口旁,121.495280,25.021060,正常,20260414T000000,20260211T143700,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0270,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0270.JPG
0271,0271,西區,臺北市,公園步道,區公所,臺北市萬華區公所,西園公園,臺北市萬華區東園街67巷與73巷間,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,人行道旁,121.498183,25.026699,正常,20260414T000000,20260211T142700,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0271,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0271.JPG
0272,0272,西區,臺北市,公園步道,區公所,臺北市萬華區公所,華江8號公園,臺北市萬華區環河南路二段250巷28弄旁,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,西側人行道旁,121.492678,25.034156,正常,20211201T090000,20260211T145700,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0272,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0272.JPG
0273,0273,西區,臺北市,公園步道,區公所,臺北市萬華區公所,福星公園,臺北市萬華區漢口街與昆明街交叉口,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,西側人行道旁,121.505850,25.046236,正常,20260414T000000,20260211T103900,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0273,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0273.JPG
0274,0274,西區,臺北市,公園步道,區公所,臺北市萬華區公所,青山公園,臺北市萬華區華西街10巷旁,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,北側草坪,121.498456,25.039502,正常,20260414T000000,20260211T111600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0274,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0274.JPG
0275,0275,西區,臺北市,公園步道,區公所,臺北市萬華區公所,錦德公園,臺北市萬華區德昌街與西園路二段281巷5弄交口,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,遊戲區旁,121.492497,25.023416,正常,20211201T090000,20260211T144300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0275,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0275.JPG
0276,0276,西區,臺北市,公園步道,區公所,臺北市萬華區公所,壽德公園,臺北市萬華區萬青街118巷旁,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,工具間旁,121.501121,25.024495,正常,20260414T000000,20260211T140900,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0276,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0276.JPG
0277,0277,西區,臺北市,公園步道,區公所,臺北市萬華區公所,柳鄉公園,臺北市萬華區環河南路二段100巷,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,遊樂場旁,121.495305,25.037244,正常,20260414T000000,20260323T141200,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0277,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0277.JPG
0278,0278,西區,臺北市,公園步道,區公所,臺北市萬華區公所,保德公園,臺北市萬華區東園街154巷與長泰街156巷交口,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,遊樂場旁,121.497261,25.022712,正常,20260414T000000,20260323T145000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0278,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0278.JPG
0279,0279,西區,臺北市,公園步道,水利處,工務局水利工程處南區管理站,馬場町河濱公園,臺北市萬華區馬場町河濱公園入口廣場,萬華,工務局水利工程處南區管理站,27208889#2691,0:00~24:00,馬場町河濱公園入口廣場,121.504661,25.019714,正常,20260414T000000,20260323T145800,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0279,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0279.JPG
0280,0280,西區,臺北市,公園步道,水利處,工務局水利工程處南區管理站,光復橋下河濱公園廣場,臺北市萬華區光復橋下河濱公園洗手台旁,萬華,工務局水利工程處南區管理站,27208889#2691,0:00~24:00,光復橋下河濱公園洗手台旁,121.490288,25.024210,正常,20260414T000000,20260323T142700,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0280,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0280.JPG
0282,0282,西區,臺北市,公園步道,區公所,臺北市萬華區公所,孝德公園,臺北市萬華區寶興街140巷17弄1-3號對面,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,溜滑梯旁,121.494234,25.024011,正常,20260414T000000,20260323T144400,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0282,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0282.JPG
0285,0285,西區,臺北市,公園步道,水利處,工務局水利工程處南區管理站,中正河濱公園,臺北市中正區詔安街38巷對面,中正,工務局水利工程處南區管理站,27208889#2691,0:00~24:00,網球場,121.514003,25.023632,正常,20211201T090000,20260323T150600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0285,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0285.JPG
0286,0286,西區,臺北市,公園步道,水利處,工務局水利工程處南區管理站,華中河濱公園,臺北市萬華區環河南路三段243號對面(人行便橋下),萬華,工務局水利工程處南區管理站,27208889#2691,0:00~24:00,人行便橋下,121.492018,25.020129,正常,20260414T000000,20260323T143200,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0286,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0286.JPG
0286a,0286a,西區,臺北市,公園步道,水利處,工務局水利工程處南區管理站,華中河濱公園,臺北市萬華區環河南路三段335號對面,萬華,工務局水利工程處南區管理站,27208889#2691,0:00~24:00,籃球場旁,121.493007,25.017220,正常,20260414T000000,20260323T143600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0286a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0286a.JPG
0287,0287,西區,臺北市,公園步道,區公所,臺北市萬華區公所,長沙公園,臺北市萬華區環河南路一段280號之1,萬華,臺北市萬華區公所,2306-4468#283,0:00~24:00,廣場旁,121.500111,25.041689,正常,20260414T000000,20260323T141900,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0287,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0287.JPG
0289,0289,西區,臺北市,公園步道,區公所,臺北市萬華區公所,萬華1號綠地,臺北市萬華區大理街22號對面,萬華區,臺北市萬華區公所,2306-4468#283,0:00~24:00,入口旁,121.502011,25.034930,正常,20240821T102000,20260105T103400,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0289,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0289.JPG
0290,0290,西區,臺北市,商圈夜市,臺北自來水事業處,臺北自來水事業處,西門町商圈,臺北市萬華區中華路1段136號前,萬華區,北水處西區分處,33431678#1696,0:00~24:00,人行道,121.508335,25.043431,正常,20260414T000000,20260211T105200,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0290,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0290.JPG
0291,0291,西區,臺北市,商圈夜市,臺北自來水事業處,臺北自來水事業處,西門町商圈,臺北市萬華區中華路1段88號前,萬華區,北水處西區分處,33431678#1696,0:00~24:00,人行道,121.508808,25.045052,正常,20260414T000000,20260211T104600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0291,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0291.JPG
0292,0292,西區,臺北市,商圈夜市,臺北自來水事業處,臺北自來水事業處,西門町商圈(峨嵋停車場),臺北市萬華區西寧南路50巷13號前,萬華區,北水處西區分處,33431678#1696,0:00~24:00,人行道,121.505502,25.044426,正常,20260414T000000,20260211T103500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0292,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0292.JPG
0293,0293,西區,臺北市,商圈夜市,臺北自來水事業處,臺北自來水事業處,雙和街市場,臺北市萬華區雙和街與西藏路125巷交口,萬華區,北水處西區分處,33431678#1696,0:00~24:00,人行道,121.502703,25.027812,正常,20260414T000000,20260211T141800,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0293,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0293.JPG
0310n1a,0310n1a,東區,臺北市,機關,市政大樓,臺北市市政大樓公共事務管理中心,市政大樓,臺北市信義區市府路1號,信義,市政大樓公管中心,27208889轉3003,08:00~18:00,中北1樓,121.564568,25.037851,正常,20260414T000000,20260112T145400,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0310n1a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0310n1a.JPG
0310n2a,0310n2a,東區,臺北市,機關,市政大樓,臺北市市政大樓公共事務管理中心,市政大樓,臺北市信義區市府路1號,信義,市政大樓公管中心,27208889轉3003,08:00~18:00,中北2樓,121.564568,25.037851,正常,20260414T000000,20260112T144800,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0310n2a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0310n2a.JPG
0310nb,0310nb,東區,臺北市,機關,市政大樓,臺北市市政大樓公共事務管理中心,市政大樓,臺北市信義區市府路1號,信義,市政大樓公管中心,27208889轉3003,08:00~18:00,中北B1樓,121.564568,25.037851,正常,20260414T000000,20260112T150400,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0310nb,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0310nb.JPG
0310s1a,0310s1a,東區,臺北市,機關,市政大樓,臺北市市政大樓公共事務管理中心,市政大樓,臺北市信義區市府路1號,信義,市政大樓公管中心,27208889轉3003,08:00~18:00,中央南1樓,121.564472,25.037214,正常,20260414T000000,20260112T151800,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0310s1a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0310s1a.JPG
0310s2a,0310s2a,東區,臺北市,機關,市政大樓,臺北市市政大樓公共事務管理中心,市政大樓,臺北市信義區市府路1號,信義,市政大樓公管中心,27208889轉3003,08:00~18:00,中央南2樓,121.564472,25.037214,正常,20260414T000000,20260112T152500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0310s2a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0310s2a.JPG
0310sb,0310sb,東區,臺北市,機關,市政大樓,臺北市市政大樓公共事務管理中心,市政大樓,臺北市信義區市府路1號,信義,市政大樓公管中心,27208889轉3003,08:00~18:00,中央南B1樓,121.564472,25.037214,正常,20260414T000000,20260112T151000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0310sb,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0310sb.JPG
0327,0327,東區,臺北市,公園步道,公園處,工務局公園處,民權公園,臺北市松山區富錦街389巷12弄18號,松山,工務局公園處圓山管理所,2585-0192 轉232,0:00~24:00,公園內,121.558354,25.061298,正常,20260414T000000,20260108T100800,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0327,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0327.JPG
0350,0350,南區,臺北市,公園步道,公園處,工務局公園處,景勤2號公園,臺北市信義區信安街、吳興街220巷交口(原陸軍保養廠),信義,工務局公園處南港管理所,02-27833685,0:00~24:00,入口旁,121.558051,25.026098,正常,20260414T000000,20260108T150600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0350,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0350.JPG
0352a,0352a,南區,臺北市,公園步道,公園處,工務局公園處,象山公園,臺北市信義區信義路5段150巷,信義,工務局公園處南港管理所,02-27833685,0:00~24:00,運動場旁,121.569941,25.029669,正常,20211201T090000,20260210T155600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0352a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0352a.JPG
0352b,0352b,南區,臺北市,公園步道,公園處,工務局公園處,象山公園,臺北市信義區信義路5段150巷,信義,工務局公園處南港管理所,02-27833685,0:00~24:00,運動場旁,121.569994,25.030763,正常,20211201T090000,20260210T154700,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0352b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0352b.JPG
0353,0353,南區,臺北市,公園步道,區公所,臺北市信義區公所,三興公園,臺北市信義區吳興街156巷40弄與吳興街118巷間,信義,臺北市信義區公所,27239777#707,00:00~24:00,涼亭旁邊,121.559605,25.028616,正常,20260414T000000,20260107T102900,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0353,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0353.JPG
0354,0354,南區,臺北市,公園步道,公園處,工務局公園處,景勤1號公園,臺北市信義區吳興街220巷59弄13號對面,信義,工務局公園處南港管理所,02-27833685,00:00~24:00,入口處,121.561012,25.027111,正常,20211201T090000,20260108T150000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0354,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0354.JPG
0354a,0354a,南區,臺北市,公園步道,公園處,工務局公園處,景勤1號公園,臺北市信義區吳興街220巷61號旁,信義,工務局公園處南港管理所,02-27833685,0:00~24:00,YouBike站旁,121.561757,25.026749,正常,20211201T090000,20260108T145300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0354a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0354a.JPG
0355,0355,東區,臺北市,機關,市政大樓,臺北市市政大樓公共事務管理中心,市府大樓東南側,臺北市信義區松智路與松壽路口,信義,市政大樓公管中心,27208889轉3003,0:00~24:00,兒童戲沙池旁,121.564929,25.036876,正常,20260414T000000,20260112T153400,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0355,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0355.JPG
0356,0356,南區,臺北市,場館,臺北自來水事業處,臺北自來水事業處,國父紀念館,臺北市信義區仁愛路四段505號,信義,北水處南區分處,83695107,0:00~24:00,北側人行道,121.559510,25.041155,正常,20260414T000000,20260305T095300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0356,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0356.JPG
0356a,0356a,南區,臺北市,場館,國父紀念館,國父紀念館,國父紀念館,臺北市信義區國父紀念館（光復南路出入口）,信義,國父紀念館,27588008#532,0:00~24:00,佈告欄旁,121.557850,25.039293,正常,20260414T000000,20260305T094800,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0356a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0356a.JPG
0357a,0357a,東區,臺北市,公園步道,公園處,工務局公園處,松壽廣場,臺北市信義區松智路東側(松高路至信義路5段),信義,工務局公園處南港管理所,02-27833685,0:00~24:00,松壽廣場公園前(松智路75號),121.565796,25.037545,正常,20231229T100000,20260210T162000,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0357a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0357a.JPG
0357b,0357b,東區,臺北市,商圈夜市,公園處,Att 4 FUN 管理部,信義直飲廊道,臺北市信義區松智路東側(松高路至信義路6段),信義,Att 4 FUN 管理部,87808111轉7502,0:00~24:00,att 4 fun(松智路83號),121.565635,25.035352,正常,20211201T090000,20260210T160800,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0357b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0357b.JPG
0357c,0357c,東區,臺北市,商圈夜市,機關,南山廣場公寓大廈管理維護股份有限公司,信義直飲廊道(信義南山廣場),臺北市信義區松智路,信義,南山廣場公寓大廈管理維護股份有限公司設施管理科,2723-8009 #90029,0:00~24:00,人行道綠帶旁,121.565609,25.034213,正常,20231229T100000,20260210T160400,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0357c,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0357c.JPG
0358,0358,東區,臺北市,公園步道,工程處,工務局大地工程處,象山步道,臺北市信義區信義路五段150巷342弄,信義,大地工程處道路步道科,27593001轉2312,0:00~24:00,象山六巨石觀景台,121.574429,25.026832,正常,20260414T000000,20260209T104500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0358,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0358.JPG
0359,0359,西區,臺北市,公園步道,區公所,臺北市信義區公所,福德公園,臺北市信義區福德街與大道路口東北側,信義,臺北市信義區公所,27239777#707,0:00~24:00,入口處,121.583981,25.038427,正常,20260414T000000,20260305T102500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0359,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0359.JPG
